workflow,job,github_script_count,has_setup_api_client,coverage_status,fix_status,fix_pr,fix_date,notes
agents-autofix-loop.yml,metrics,1,Yes,Covered,Fixed,PR#1189,2026-02-02,Added sparse-checkout deps + setup-api-client step
agents-bot-comment-handler.yml,cleanup,1,Yes,Covered,Fixed,PR#1189,2026-02-02,Added sparse-checkout deps + setup-api-client step
reusable-10-ci-python.yml,logs_summary,1,Yes,Covered,Fixed,PR#1189,2026-02-02,Added checkout + setup-api-client (was missing checkout)
reusable-16-agents.yml,preflight,3,Yes,Covered,Fixed,PR#1189,2026-02-02,Added sparse-checkout deps + setup-api-client step
reusable-16-agents.yml,verify_issue_summary,2,No,FALSE_POSITIVE,N/A,,,Uses github-script but only writes to core.summary - no API calls
reusable-20-pr-meta.yml,keepalive_dispatch,1,Yes,Covered,Existing,PR#1183,,Already had setup-api-client via consumer checkout
reusable-20-pr-meta.yml,keepalive_orchestrator,1,Yes,Covered,Fixed,PR#1189,2026-02-02,Added workflows-lib sparse-checkout + setup-api-client
reusable-20-pr-meta.yml,keepalive_from_gate,1,Yes,Covered,Fixed,PR#1189,2026-02-02,Added workflows-lib sparse-checkout + setup-api-client
reusable-20-pr-meta.yml,pr_body_update,2,Yes,Covered,Fixed,PR#1189,2026-02-02,Added workflows-lib sparse-checkout + setup-api-client
reusable-bot-comment-handler.yml,dispatch,1,Yes,Covered,Fixed,PR#1189,2026-02-02,Added sparse-checkout deps + setup-api-client step
agents-63-issue-intake.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-64-verify-agent-assignment.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-71-codex-belt-dispatcher.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-72-codex-belt-worker.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-73-codex-belt-conveyor.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-auto-label.yml,auto-label,,Yes,Covered,Fixed,,2026-02-03,Added setup-api-client to template workflow
agents-auto-pilot.yml,,,Unknown,Needs Review,Unverified,,,Added from high-volume audit list; coverage not yet verified
agents-capability-check.yml,capability-check,,Yes,Covered,Fixed,,2026-02-03,Added setup-api-client to template workflow
agents-decompose.yml,decompose,,Yes,Covered,Fixed,,2026-02-03,Added setup-api-client to template workflow
agents-dedup.yml,dedup,,Yes,Covered,Fixed,,2026-02-03,Added setup-api-client to template workflow
agents-guard.yml,guard,,Yes,Covered,Fixed,,2026-02-03,Added setup-api-client to template workflow
